nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time,perc_flight_time,perc_swap_time,perc_load_unload_time,perc_waiting_time,diff_demand-cons
20,5,2,11,LOCALSEARCH-BFSOPT,11079.1621,10713.3302,10263.3302,330,120,0,6700.7888,71843.3114,4.4815,5.5,10713.3302,0.967,1,0.2,0.811752872,0.957996254,0.030802747,0.011200999,0,2.0185
20,5,2,12,GREEDY,9120.9376,8172.9169,7892.9169,180,100,0,5923.6094,55250.4184,2.6188,3,8172.9169,0.8961,0,0,0.214749946,0.965740506,0.022023961,0.012235534,0,1.3812
20,5,2,12,LOCALSEARCH-LB,9120.9376,8172.9169,7892.9169,180,100,0,5923.6094,55250.4184,2.6188,3,8172.9169,0.8961,0,0,0.260263846,0.965740506,0.022023961,0.012235534,0,1.3812
20,5,2,12,LOCALSEARCH-HC,9120.9376,8172.9169,7892.9169,180,100,0,5923.6094,55250.4184,2.6188,3,8172.9169,0.8961,0,0,0.260301242,0.965740506,0.022023961,0.012235534,0,1.3812
20,5,2,12,LOCALSEARCH-BFSOPT,9120.9376,8172.9169,7892.9169,180,100,0,5923.6094,55250.4184,2.6188,3,8172.9169,0.8961,0,0,0.260097494,0.965740506,0.022023961,0.012235534,0,1.3812
20,5,2,13,GREEDY,11540.5474,11170.8644,10830.8644,240,100,0,6889.1287,75816.0508,3.5776,4,11170.8644,0.968,0,0,0.222179,0.96956368,0.021484461,0.008951859,0,1.4224
20,5,2,13,LOCALSEARCH-LB,11190.5434,11178.7059,10838.7059,240,100,0,6970.1377,75870.9416,3.5784,4,11178.7059,0.9989,0,0,0.457266714,0.96958503,0.02146939,0.008945579,0,1.4216
20,5,2,13,LOCALSEARCH-HC,11190.5434,11178.7059,10838.7059,240,100,0,6970.1377,75870.9416,3.5784,4,11178.7059,0.9989,0,0,0.340963589,0.96958503,0.02146939,0.008945579,0,1.4216
20,5,2,13,LOCALSEARCH-BFSOPT,11190.5434,11178.7059,10838.7059,240,100,0,6970.1377,75870.9416,3.5784,4,11178.7059,0.9989,0,0,0.458401695,0.96958503,0.02146939,0.008945579,0,1.4216
20,5,2,14,GREEDY,11631.7155,10534.6668,10224.6668,210,100,0,6796.0719,71572.6673,3.7407,3.5,10534.6668,0.9057,0,0,0.219339778,0.970573346,0.019934185,0.009492469,0,0.7593
20,5,2,14,LOCALSEARCH-LB,10962.2051,10921.3039,10591.3039,210,120,0,7105.3816,74139.1274,3.7745,3.5,10921.3039,0.9963,1,0.2,0.314134531,0.969783828,0.019228473,0.010987699,0,0.7255
20,5,2,14,LOCALSEARCH-HC,10962.2051,10921.3039,10591.3039,210,120,0,7105.3816,74139.1274,3.7745,3.5,10921.3039,0.9963,1,0.2,0.311929597,0.969783828,0.019228473,0.010987699,0,0.7255
20,5,2,14,LOCALSEARCH-BFSOPT,10962.2051,10921.3039,10591.3039,210,120,0,7105.3816,74139.1274,3.7745,3.5,10921.3039,0.9963,1,0.2,0.315430017,0.969783828,0.019228473,0.010987699,0,0.7255
20,5,2,15,GREEDY,8698.5319,7440.8296,7160.8296,180,100,0,4908.3217,50125.8073,3.257,3,7440.8296,0.8554,0,0,0.21560848,0.962369787,0.024190851,0.013439362,0,0.743
20,5,2,15,LOCALSEARCH-LB,8698.5319,7440.8296,7160.8296,180,100,0,4908.3217,50125.8073,3.257,3,7440.8296,0.8554,0,0,0.248633503,0.962369787,0.024190851,0.013439362,0,0.743
20,5,2,15,LOCALSEARCH-HC,8698.5319,7440.8296,7160.8296,180,100,0,4908.3217,50125.8073,3.257,3,7440.8296,0.8554,0,0,0.248009008,0.962369787,0.024190851,0.013439362,0,0.743
20,5,2,15,LOCALSEARCH-BFSOPT,8698.5319,7440.8296,7160.8296,180,100,0,4908.3217,50125.8073,3.257,3,7440.8296,0.8554,0,0,0.250754564,0.962369787,0.024190851,0.013439362,0,0.743
20,5,2,16,GREEDY,13614.9428,11695.1538,11415.1538,180,100,0,7847.9362,79906.0767,3.0668,3,11695.1538,0.859,0,0,0.220529103,0.976058459,0.01539099,0.00855055,0,0.9332
20,5,2,16,LOCALSEARCH-LB,12257.0227,12104.6407,11784.6407,180,140,0,8356.4405,82492.4848,3.1042,3,12104.6407,0.9876,2,0.4,0.770518914,0.973563858,0.01487033,0.011565812,0,0.8958
20,5,2,16,LOCALSEARCH-HC,12277.0227,11966.5554,11686.5554,180,100,0,8065.0575,81805.8875,3.0919,3,11966.5554,0.9747,0,0,0.312670666,0.976601454,0.015041923,0.008356624,0,0.9081
20,5,2,16,LOCALSEARCH-BFSOPT,12257.0227,12104.6407,11784.6407,180,140,0,8356.4405,82492.4848,3.1042,3,12104.6407,0.9876,2,0.4,0.717185918,0.973563858,0.01487033,0.011565812,0,0.8958
20,5,2,17,GREEDY,11955.8667,9489.0225,9239.0225,150,100,0,5951.7339,64673.1575,2.8751,2.5,9489.0225,0.7937,0,0,0.216314326,0.973653767,0.01580774,0.010538493,0,0.6249
20,5,2,17,LOCALSEARCH-LB,10185.7167,10064.6928,9794.6928,150,120,0,6182.002,68562.8495,2.9264,2.5,10064.6928,0.9881,1,0.2,0.407073634,0.973173548,0.014903585,0.011922868,0,0.5736
20,5,2,17,LOCALSEARCH-HC,10185.7167,10064.6928,9794.6928,150,120,0,6182.002,68562.8495,2.9264,2.5,10064.6928,0.9881,1,0.2,0.325474598,0.973173548,0.014903585,0.011922868,0,0.5736
