nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time
20,15,2,16,LOCALSEARCH-BFSOPT,29491.1653,29131.219,28261.219,570.0,300.0,0.0, 13851.4846,197828.533,7.8356,9.5,29131.219,0.9878,0,0.0,7.9034258959999875
20,15,2,17,GREEDY,28316.5115,26009.1563,25019.1563,690.0,300.0,0.0, 12869.5535,175134.0938,9.6326,11.5,26009.1563,0.9185,0,0.0,1.790553102000004
20,15,2,17,LOCALSEARCH-LB,26274.2838,26086.6121,25056.6121,690.0,340.0,0.0, 12952.7831,175396.2849,9.6426,11.5,26086.6121,0.9929,1,0.0667,18.59426044
20,15,2,17,LOCALSEARCH-HC,26541.5784,26015.0293,25025.0293,690.0,300.0,0.0, 12870.3366,175175.2049,9.6332,11.5,26015.0293,0.9802,0,0.0,3.8450685709999988
20,15,2,17,LOCALSEARCH-BFSOPT,26274.2838,26086.6121,25056.6121,690.0,340.0,0.0, 12952.7831,175396.2849,9.6426,11.5,26086.6121,0.9929,1,0.0667,21.736969207000016
20,15,2,18,GREEDY,22980.7984,22657.1209,21787.1209,570.0,300.0,0.0, 11146.9034,152509.846,7.7205,9.5,22657.1209,0.9859,0,0.0,1.8104073020000016
20,15,2,18,LOCALSEARCH-LB,22980.7984,22657.1209,21787.1209,570.0,300.0,0.0, 11146.9034,152509.846,7.7205,9.5,22657.1209,0.9859,0,0.0,2.7123567809999827
20,15,2,18,LOCALSEARCH-HC,22980.7984,22657.1209,21787.1209,570.0,300.0,0.0, 11146.9034,152509.846,7.7205,9.5,22657.1209,0.9859,0,0.0,2.698685515000008
20,15,2,18,LOCALSEARCH-BFSOPT,22980.7984,22657.1209,21787.1209,570.0,300.0,0.0, 11146.9034,152509.846,7.7205,9.5,22657.1209,0.9859,0,0.0,2.717039676000013
20,15,2,19,GREEDY,22858.6752,21170.368,20510.368,360.0,300.0,0.0, 9573.714,143572.576,5.6584,6.0,21170.368,0.9261,0,0.0,1.7427308780000033
20,15,2,19,LOCALSEARCH-LB,21863.5101,21698.819,21008.819,390.0,300.0,0.0, 9785.0944,147061.7333,5.7044,6.5,21698.819,0.9925,0,0.0,5.896779792999979
20,15,2,19,LOCALSEARCH-HC,21863.5101,21698.819,21008.819,390.0,300.0,0.0, 9785.0944,147061.7333,5.7044,6.5,21698.819,0.9925,0,0.0,3.0738356949999996
20,15,2,19,LOCALSEARCH-BFSOPT,21863.5101,21698.819,21008.819,390.0,300.0,0.0, 9785.0944,147061.7333,5.7044,6.5,21698.819,0.9925,0,0.0,8.295703129999993
20,15,2,20,GREEDY,29454.4667,29220.4987,28230.4987,690.0,300.0,-0.0, 13655.6265,197613.491,9.6959,11.5,29220.4987,0.9921,0,0.0,1.7879919940000022
20,15,2,20,LOCALSEARCH-LB,29365.9398,29220.4987,28230.4987,690.0,300.0,-0.0, 13655.6265,197613.491,9.6959,11.5,29220.4987,0.995,0,0.0,6.69025596100002
20,15,2,20,LOCALSEARCH-HC,29365.9398,29220.4987,28230.4987,690.0,300.0,-0.0, 13655.6265,197613.491,9.6959,11.5,29220.4987,0.995,0,0.0,5.063562676000004
20,15,2,20,LOCALSEARCH-BFSOPT,29365.9398,29220.4987,28230.4987,690.0,300.0,-0.0, 13655.6265,197613.491,9.6959,11.5,29220.4987,0.995,0,0.0,6.717945763999978
20,15,2,21,GREEDY,36387.7368,33665.4883,32405.4883,960.0,300.0,-0.0, 15250.5919,226838.4181,13.3069,16.0,33665.4883,0.9252,0,0.0,1.8197381589999964
20,15,2,21,LOCALSEARCH-LB,33738.997,33696.846,32416.846,960.0,320.0,0.0, 15258.954,226917.9223,13.3079,16.0,33696.846,0.9988,1,0.0667,41.539165286999975
20,15,2,21,LOCALSEARCH-HC,34298.877,34261.3462,32951.3462,990.0,320.0,-0.0, 16174.6965,230659.4232,13.4351,16.5,34261.3462,0.9989,1,0.0667,10.120776984000003
20,15,2,21,LOCALSEARCH-BFSOPT,33738.997,33696.846,32416.846,960.0,320.0,0.0, 15258.954,226917.9223,13.3079,16.0,33696.846,0.9988,1,0.0667,150.70546367100002
20,15,2,22,GREEDY,29450.0444,26686.8312,25756.8312,630.0,300.0,-0.0, 12408.6881,180297.8183,8.9781,10.5,26686.8312,0.9062,0,0.0,1.7878344860000013
20,15,2,22,LOCALSEARCH-LB,26767.9547,26716.8312,25756.8312,660.0,300.0,-0.0, 12416.6881,180297.8183,8.9781,11.0,26716.8312,0.9981,0,0.0,13.53676914600004
20,15,2,22,LOCALSEARCH-HC,26767.9547,26716.8312,25756.8312,660.0,300.0,-0.0, 12416.6881,180297.8183,8.9781,11.0,26716.8312,0.9981,0,0.0,3.636089044000002
20,15,2,22,LOCALSEARCH-BFSOPT,26767.9547,26716.8312,25756.8312,660.0,300.0,-0.0, 12416.6881,180297.8183,8.9781,11.0,26716.8312,0.9981,0,0.0,18.401563533
20,15,2,23,GREEDY,24819.4657,22879.7414,22039.7414,540.0,300.0,-0.0, 10335.1156,154278.19,7.4305,9.0,22879.7414,0.9218,0,0.0,1.742027268000001
20,15,2,23,LOCALSEARCH-LB,23619.518,22879.7414,22039.7414,540.0,300.0,0.0, 10513.749,154278.19,7.4305,9.0,22879.7414,0.9687,0,0.0,13.868111618
20,15,2,23,LOCALSEARCH-HC,23619.518,22879.7414,22039.7414,540.0,300.0,0.0, 10513.749,154278.19,7.4305,9.0,22879.7414,0.9687,0,0.0,3.621192364999999
20,15,2,23,LOCALSEARCH-BFSOPT,23619.518,22879.7414,22039.7414,540.0,300.0,0.0, 10513.749,154278.19,7.4305,9.0,22879.7414,0.9687,0,0.0,21.067388386000005
20,15,2,24,GREEDY,30597.0346,27826.1552,26806.1552,720.0,300.0,0.0, 13087.5375,187643.0867,9.2453,12.0,27826.1552,0.9094,0,0.0,1.7853507370000017
20,15,2,24,LOCALSEARCH-LB,27953.5534,27848.9003,26838.9003,690.0,320.0,0.0, 13090.5701,187872.3021,9.2484,11.5,27848.9003,0.9963,1,0.0667,13.907921387999977
20,15,2,24,LOCALSEARCH-HC,27953.5534,27848.9003,26838.9003,690.0,320.0,0.0, 13090.5701,187872.3021,9.2484,11.5,27848.9003,0.9963,1,0.0667,4.304909554999995
20,15,2,24,LOCALSEARCH-BFSOPT,27953.5534,27848.9003,26838.9003,690.0,320.0,0.0, 13090.5701,187872.3021,9.2484,11.5,27848.9003,0.9963,1,0.0667,43.64966594099997
20,15,2,25,GREEDY,35974.6674,32141.8366,30941.8366,900.0,300.0,-0.0, 15113.465,216592.8562,11.0758,15.0,32141.8366,0.8935,0,0.0,1.8553645899999935
20,15,2,25,LOCALSEARCH-LB,32895.3535,32589.767,31419.767,870.0,300.0,-0.0, 15501.9247,219938.369,11.12,14.5,32589.767,0.9907,0,0.0,33.201708349
20,15,2,25,LOCALSEARCH-HC,32895.3535,32589.767,31419.767,870.0,300.0,-0.0, 15501.9247,219938.369,11.12,14.5,32589.767,0.9907,0,0.0,5.040401265
20,15,2,25,LOCALSEARCH-BFSOPT,32400.6431,32161.1017,30951.1017,870.0,340.0,-0.0, 15561.0177,216657.7122,11.0768,14.5,32161.1017,0.9926,1,0.0667,50.24934445400004
20,15,2,26,GREEDY,27997.1134,27700.4327,26710.4327,690.0,300.0,-0.0, 12777.3502,186973.0287,9.8903,11.5,27700.4327,0.9894,0,0.0,1.778564873999997
20,15,2,26,LOCALSEARCH-LB,27831.9872,27700.4327,26710.4327,690.0,300.0,-0.0, 12777.3502,186973.0287,9.8903,11.5,27700.4327,0.9953,0,0.0,4.969387916999949
20,15,2,26,LOCALSEARCH-HC,27831.9872,27700.4327,26710.4327,690.0,300.0,-0.0, 12777.3502,186973.0287,9.8903,11.5,27700.4327,0.9953,0,0.0,3.9522457799999984
20,15,2,26,LOCALSEARCH-BFSOPT,27831.9872,27700.4327,26710.4327,690.0,300.0,-0.0, 12777.3502,186973.0287,9.8903,11.5,27700.4327,0.9953,0,0.0,5.015055268999959
20,15,2,27,GREEDY,31781.3802,29056.4943,27826.4943,930.0,300.0,0.0, 13165.383,194785.4601,12.4314,15.5,29056.4943,0.9143,0,0.0,1.7904201170000036
20,15,2,27,LOCALSEARCH-LB,29806.9757,29699.1289,28449.1289,930.0,320.0,-0.0, 13251.0676,199143.9022,12.4889,15.5,29699.1289,0.9964,1,0.0667,18.079694022000012
20,15,2,27,LOCALSEARCH-HC,29806.9757,29699.1289,28449.1289,930.0,320.0,-0.0, 13251.0676,199143.9022,12.4889,15.5,29699.1289,0.9964,1,0.0667,6.0192300930000044
20,15,2,27,LOCALSEARCH-BFSOPT,29534.473,29464.2767,28184.2767,960.0,320.0,0.0, 13626.0167,197289.9372,12.4644,16.0,29464.2767,0.9976,1,0.0667,42.564170573999945
20,15,2,28,GREEDY,28995.7088,27113.654,25943.654,870.0,300.0,0.0, 12669.1117,181605.5779,11.0958,14.5,27113.654,0.9351,0,0.0,1.8237866480000022
20,15,2,28,LOCALSEARCH-LB,27741.5374,27113.654,25943.654,870.0,300.0,-0.0, 12581.5003,181605.5779,11.0958,14.5,27113.654,0.9774,0,0.0,23.345824937999964
20,15,2,28,LOCALSEARCH-HC,27741.5374,27113.654,25943.654,870.0,300.0,-0.0, 12581.5003,181605.5779,11.0958,14.5,27113.654,0.9774,0,0.0,4.665174137000008
20,15,2,28,LOCALSEARCH-BFSOPT,27741.5374,27113.654,25943.654,870.0,300.0,-0.0, 12581.5003,181605.5779,11.0958,14.5,27113.654,0.9774,0,0.0,26.221916748000012
20,15,2,29,GREEDY,25852.4388,24909.0115,23889.0115,720.0,300.0,-0.0, 11967.0878,167223.0803,8.9777,12.0,24909.0115,0.9635,0,0.0,1.7910899319999984
20,15,2,29,LOCALSEARCH-LB,25033.3313,24899.0115,23889.0115,690.0,320.0,0.0, 11961.7544,167223.0803,8.9777,11.5,24899.0115,0.9946,1,0.0667,18.10138687099999
20,15,2,29,LOCALSEARCH-HC,25033.3313,24899.0115,23889.0115,690.0,320.0,0.0, 11961.7544,167223.0803,8.9777,11.5,24899.0115,0.9946,1,0.0667,4.140944990999998
20,15,2,29,LOCALSEARCH-BFSOPT,25033.3313,24899.0115,23889.0115,690.0,320.0,0.0, 11961.7544,167223.0803,8.9777,11.5,24899.0115,0.9946,1,0.0667,16.294787960999997
20,15,2,30,GREEDY,27339.3085,24863.0911,23993.0911,570.0,300.0,-0.0, 11300.5335,167951.638,7.7562,9.5,24863.0911,0.9094,0,0.0,1.7701448440000007
20,15,2,30,LOCALSEARCH-LB,25785.4451,25326.7117,24436.7117,570.0,320.0,-0.0, 11362.3496,171056.982,7.7971,9.5,25326.7117,0.9822,1,0.0667,7.891708614000038
20,15,2,30,LOCALSEARCH-HC,25785.4451,25326.7117,24436.7117,570.0,320.0,-0.0, 11362.3496,171056.982,7.7971,9.5,25326.7117,0.9822,1,0.0667,3.7449630210000038
20,15,2,30,LOCALSEARCH-BFSOPT,25202.7082,25124.7904,24164.7904,600.0,360.0,-0.0, 11588.9845,169153.5329,7.772,10.0,25124.7904,0.9969,2,0.1333,35.8525122420001
20,15,2,31,GREEDY,29083.8638,28608.7535,27408.7535,900.0,300.0,-0.0, 13624.8398,191861.2743,11.7985,15.0,28608.7535,0.9837,0,0.0,1.8118077009999993
20,15,2,31,LOCALSEARCH-LB,29083.8638,28608.7535,27408.7535,900.0,300.0,-0.0, 13624.8398,191861.2743,11.7985,15.0,28608.7535,0.9837,0,0.0,3.290823594000017
20,15,2,31,LOCALSEARCH-HC,29083.8638,28608.7535,27408.7535,900.0,300.0,-0.0, 13624.8398,191861.2743,11.7985,15.0,28608.7535,0.9837,0,0.0,3.2961796249999793
